iter	Passed	Remaining
626	1506	895
627	1507	892
628	1508	889
629	1509	886
630	1510	883
631	1512	880
632	1515	878
633	1518	876
634	1520	873
635	1521	871
636	1523	867
637	1524	864
638	1525	861
639	1528	859
640	1529	856
641	1531	853
642	1532	851
643	1533	847
644	1534	844
645	1535	841
646	1536	838
647	1546	840
648	1548	837
649	1551	835
650	1552	832
651	1558	831
652	1561	829
653	1563	826
654	1564	824
655	1565	820
656	1566	817
657	1567	814
658	1571	813
659	1575	811
660	1580	810
661	1582	807
662	1586	806
663	1589	804
664	1591	801
665	1592	798
666	1593	795
667	1594	792
668	1595	789
669	1596	786
670	1597	783
671	1602	781
672	1608	781
673	1611	779
674	1612	776
675	1617	775
676	1619	772
677	1620	769
678	1621	766
679	1622	763
680	1623	760
681	1625	757
682	1626	754
683	1627	751
684	1628	748
685	1632	747
686	1635	745
687	1638	742
688	1639	740
689	1643	738
690	1646	736
691	1647	733
692	1649	730
693	1650	727
694	1651	724
695	1652	721
696	1653	718
697	1654	715
698	1660	715
699	1667	714
700	1669	712
701	1672	709
702	1676	708
703	1677	705
704	1678	702
705	1680	699
706	1681	696
707	1682	694
708	1683	691
709	1684	688
710	1690	687
711	1696	686
712	1698	683
713	1699	680
714	1700	677
715	1704	676
716	1706	673
717	1708	670
718	1709	668
719	1710	665
720	1711	662
721	1713	659
722	1714	656
723	1715	653
724	1718	651
725	1725	651
726	1727	648
727	1728	645
728	1729	643
729	1730	640
730	1732	637
731	1734	635
732	1736	632
733	1737	629
734	1738	626
735	1739	623
736	1740	620
737	1741	618
738	1742	615
739	1743	612
740	1750	612
741	1753	609
742	1757	607
743	1758	604
744	1759	602
745	1763	600
746	1764	597
747	1765	594
748	1766	592
749	1768	589
750	1769	586
751	1770	583
752	1771	581
753	1772	578
754	1777	576
755	1781	574
756	1783	572
757	1784	569
758	1786	567
759	1788	564
760	1789	562
761	1790	559
762	1791	556
763	1792	553
764	1793	551
765	1794	548
766	1796	545
767	1797	543
768	1801	541
769	1807	539
770	1809	537
771	1811	534
772	1812	532
773	1815	530
774	1817	527
775	1818	524
776	1819	522
777	1820	519
778	1821	516
779	1822	514
780	1823	511
781	1827	509
782	1831	507
783	1834	505
784	1836	502
785	1837	500
786	1838	497
787	1839	494
788	1841	492
789	1843	490
790	1844	487
791	1845	484
792	1846	482
793	1847	479
794	1848	476
795	1849	474
796	1850	471
797	1851	468
798	1855	466
799	1862	465
800	1866	463
801	1868	461
802	1871	459
803	1872	456
804	1874	454
805	1875	451
806	1877	448
807	1878	446
808	1879	443
809	1882	441
810	1888	440
811	1890	437
812	1893	435
813	1894	432
814	1897	430
815	1898	428
816	1900	425
817	1901	423
818	1902	420
819	1903	417
820	1904	415
821	1905	412
822	1906	410
823	1907	407
824	1908	404
825	1912	402
826	1916	401
827	1919	398
828	1921	396
829	1922	393
830	1923	391
831	1927	389
832	1929	386
833	1931	384
834	1932	381
835	1934	379
836	1935	376
837	1936	374
838	1937	371
839	1938	369
840	1949	368
841	1952	366
842	1954	364
843	1962	362
844	1963	360
845	1965	357
846	1966	355
847	1968	352
848	1969	350
849	1972	348
850	1980	346
851	1983	344
852	1985	342
853	1991	340
854	1993	338
855	1994	335
856	1995	333
857	1997	330
858	1997	327
859	1998	325
860	1999	322
861	2000	320
862	2010	319
863	2014	317
864	2015	314
865	2016	311
866	2019	309
867	2020	307
868	2021	304
869	2022	302
870	2023	299
871	2024	297
872	2025	294
873	2027	292
874	2028	289
875	2031	287
876	2038	285
877	2040	283
878	2042	281
879	2043	278
880	2047	276
881	2049	274
882	2051	271
883	2052	269
884	2053	266
885	2054	264
886	2055	261
887	2056	259
888	2057	256
889	2058	254
890	2062	252
891	2067	250
892	2069	247
893	2071	245
894	2072	243
895	2073	240
896	2077	238
897	2079	236
898	2080	233
899	2081	231
900	2082	228
901	2083	226
902	2084	223
903	2085	221
904	2086	219
905	2087	216
906	2088	214
907	2092	212
908	2096	209
909	2098	207
910	2100	205
911	2101	202
912	2102	200
913	2106	198
914	2109	195
915	2110	193
916	2111	191
917	2112	188
918	2113	186
919	2114	183
920	2115	181
921	2116	179
922	2117	176
923	2125	174
924	2129	172
925	2130	170
926	2132	167
927	2137	165
928	2138	163
929	2139	161
930	2140	158
931	2142	156
932	2143	153
933	2144	151
934	2145	149
935	2146	146
936	2149	144
937	2152	142
938	2156	140
939	2158	137
940	2159	135
941	2160	133
942	2162	130
943	2166	128
944	2168	126
945	2169	123
946	2170	121
947	2171	119
948	2172	116
949	2173	114
950	2174	112
951	2175	109
952	2177	107
953	2182	105
954	2186	103
955	2188	100
956	2193	98
957	2195	96
958	2196	93
959	2197	91
960	2198	89
961	2199	86
962	2200	84
963	2201	82
964	2202	79
965	2203	77
966	2206	75
967	2209	73
968	2214	70
969	2217	68
970	2218	66
971	2219	63
972	2224	61
973	2225	59
974	2227	57
975	2228	54
976	2229	52
977	2230	50
978	2231	47
979	2232	45
980	2233	43
981	2239	41
982	2243	38
983	2245	36
984	2247	34
985	2248	31
986	2252	29
987	2255	27
988	2256	25
989	2257	22
990	2258	20
991	2259	18
992	2261	15
993	2262	13
994	2263	11
995	2264	9
996	2267	6
997	2272	4
998	2275	2
999	2276	0
